Process 2 has a clock rate of 1

Internal event	 System time: 13:24:54	 Logical clock time: 1
Received message	 System time: 13:24:55	 Logical clock time: 2
Received message	 System time: 13:24:56	 Logical clock time: 3
Received message	 System time: 13:24:57	 Logical clock time: 8
Received message	 System time: 13:24:58	 Logical clock time: 14
Received message	 System time: 13:24:59	 Logical clock time: 19
Received message	 System time: 13:25:00	 Logical clock time: 22
Received message	 System time: 13:25:01	 Logical clock time: 25
Received message	 System time: 13:25:02	 Logical clock time: 39
Received message	 System time: 13:25:03	 Logical clock time: 40
Received message	 System time: 13:25:04	 Logical clock time: 41
Received message	 System time: 13:25:05	 Logical clock time: 43
Received message	 System time: 13:25:06	 Logical clock time: 46
Received message	 System time: 13:25:07	 Logical clock time: 55
Received message	 System time: 13:25:08	 Logical clock time: 62
Received message	 System time: 13:25:10	 Logical clock time: 66
Received message	 System time: 13:25:11	 Logical clock time: 67
Received message	 System time: 13:25:12	 Logical clock time: 69
Received message	 System time: 13:25:13	 Logical clock time: 71
Received message	 System time: 13:25:14	 Logical clock time: 80
Received message	 System time: 13:25:15	 Logical clock time: 82
Received message	 System time: 13:25:16	 Logical clock time: 83
Received message	 System time: 13:25:17	 Logical clock time: 86
Received message	 System time: 13:25:18	 Logical clock time: 87
Received message	 System time: 13:25:19	 Logical clock time: 90
Received message	 System time: 13:25:20	 Logical clock time: 100
Received message	 System time: 13:25:21	 Logical clock time: 105
Received message	 System time: 13:25:22	 Logical clock time: 114
Received message	 System time: 13:25:23	 Logical clock time: 126
Received message	 System time: 13:25:24	 Logical clock time: 128
Received message	 System time: 13:25:25	 Logical clock time: 129
Received message	 System time: 13:25:26	 Logical clock time: 132
Received message	 System time: 13:25:27	 Logical clock time: 140
Received message	 System time: 13:25:28	 Logical clock time: 141
Received message	 System time: 13:25:29	 Logical clock time: 142
Received message	 System time: 13:25:30	 Logical clock time: 143
Received message	 System time: 13:25:31	 Logical clock time: 145
Received message	 System time: 13:25:32	 Logical clock time: 152
Received message	 System time: 13:25:33	 Logical clock time: 153
Received message	 System time: 13:25:34	 Logical clock time: 154
Received message	 System time: 13:25:35	 Logical clock time: 168
Received message	 System time: 13:25:36	 Logical clock time: 169
Received message	 System time: 13:25:37	 Logical clock time: 178
Received message	 System time: 13:25:38	 Logical clock time: 185
Received message	 System time: 13:25:39	 Logical clock time: 186
Received message	 System time: 13:25:40	 Logical clock time: 187
Received message	 System time: 13:25:41	 Logical clock time: 196
Received message	 System time: 13:25:42	 Logical clock time: 200
Received message	 System time: 13:25:43	 Logical clock time: 203
Received message	 System time: 13:25:44	 Logical clock time: 204
Received message	 System time: 13:25:45	 Logical clock time: 206
Received message	 System time: 13:25:46	 Logical clock time: 207
Received message	 System time: 13:25:47	 Logical clock time: 211
Received message	 System time: 13:25:48	 Logical clock time: 212
Received message	 System time: 13:25:49	 Logical clock time: 214
Received message	 System time: 13:25:50	 Logical clock time: 219
Received message	 System time: 13:25:51	 Logical clock time: 227
Received message	 System time: 13:25:52	 Logical clock time: 228
Received message	 System time: 13:25:53	 Logical clock time: 238
Received message	 System time: 13:25:54	 Logical clock time: 242
Received message	 System time: 13:25:55	 Logical clock time: 253
Received message	 System time: 13:25:56	 Logical clock time: 262
Received message	 System time: 13:25:57	 Logical clock time: 269
Received message	 System time: 13:25:58	 Logical clock time: 275
