Process 1 has a clock rate of 20

Sent message:'0'	 System time: 13:47:58	 Logical clock time: 1
Internal event	 System time: 13:47:58	 Logical clock time: 2
Sent message:'2'	 System time: 13:47:58	 Logical clock time: 3
Internal event	 System time: 13:47:58	 Logical clock time: 4
Internal event	 System time: 13:47:58	 Logical clock time: 5
Internal event	 System time: 13:47:58	 Logical clock time: 6
Internal event	 System time: 13:47:58	 Logical clock time: 7
Internal event	 System time: 13:47:58	 Logical clock time: 8
Sent message:'8'	 System time: 13:47:58	 Logical clock time: 9
Sent message:'9'	 System time: 13:47:58	 Logical clock time: 10
Sent message:'10'	 System time: 13:47:58	 Logical clock time: 11
Internal event	 System time: 13:47:58	 Logical clock time: 12
Internal event	 System time: 13:47:58	 Logical clock time: 13
Internal event	 System time: 13:47:58	 Logical clock time: 14
Received message	 System time: 13:47:58	 Logical clock time: 15
Internal event	 System time: 13:47:58	 Logical clock time: 16
Sent message:'16'	 System time: 13:47:59	 Logical clock time: 17
Internal event	 System time: 13:47:59	 Logical clock time: 18
Internal event	 System time: 13:47:59	 Logical clock time: 19
Internal event	 System time: 13:47:59	 Logical clock time: 20
Received message	 System time: 13:47:59	 Logical clock time: 21
Sent message:'21'	 System time: 13:47:59	 Logical clock time: 22
Sent message:'22'	 System time: 13:47:59	 Logical clock time: 23
Internal event	 System time: 13:47:59	 Logical clock time: 24
Internal event	 System time: 13:47:59	 Logical clock time: 25
Internal event	 System time: 13:47:59	 Logical clock time: 26
Internal event	 System time: 13:47:59	 Logical clock time: 27
Received message	 System time: 13:47:59	 Logical clock time: 28
Internal event	 System time: 13:47:59	 Logical clock time: 29
Received message	 System time: 13:47:59	 Logical clock time: 30
Sent message:'30'	 System time: 13:47:59	 Logical clock time: 31
Internal event	 System time: 13:47:59	 Logical clock time: 32
Internal event	 System time: 13:47:59	 Logical clock time: 33
Internal event	 System time: 13:47:59	 Logical clock time: 34
Received message	 System time: 13:47:59	 Logical clock time: 35
Sent message:'35'	 System time: 13:48:00	 Logical clock time: 36
Internal event	 System time: 13:48:00	 Logical clock time: 37
Sent message:'37'	 System time: 13:48:00	 Logical clock time: 38
Internal event	 System time: 13:48:00	 Logical clock time: 39
Sent message:'39'	 System time: 13:48:00	 Logical clock time: 40
Sent message:'40'	 System time: 13:48:00	 Logical clock time: 41
Internal event	 System time: 13:48:00	 Logical clock time: 42
Internal event	 System time: 13:48:00	 Logical clock time: 43
Received message	 System time: 13:48:00	 Logical clock time: 44
Received message	 System time: 13:48:00	 Logical clock time: 45
Received message	 System time: 13:48:00	 Logical clock time: 46
Received message	 System time: 13:48:00	 Logical clock time: 47
Internal event	 System time: 13:48:00	 Logical clock time: 48
Internal event	 System time: 13:48:00	 Logical clock time: 49
Internal event	 System time: 13:48:00	 Logical clock time: 50
Received message	 System time: 13:48:00	 Logical clock time: 51
Sent message:'51'	 System time: 13:48:00	 Logical clock time: 52
Internal event	 System time: 13:48:00	 Logical clock time: 53
Sent message:'53'	 System time: 13:48:01	 Logical clock time: 54
Sent message:'54'	 System time: 13:48:01	 Logical clock time: 55
Sent message:'55'	 System time: 13:48:01	 Logical clock time: 56
Internal event	 System time: 13:48:01	 Logical clock time: 57
Internal event	 System time: 13:48:01	 Logical clock time: 58
Internal event	 System time: 13:48:01	 Logical clock time: 59
Sent message:'59'	 System time: 13:48:01	 Logical clock time: 60
Received message	 System time: 13:48:01	 Logical clock time: 61
Sent message:'61'	 System time: 13:48:01	 Logical clock time: 62
Sent message:'62'	 System time: 13:48:01	 Logical clock time: 63
Internal event	 System time: 13:48:01	 Logical clock time: 64
Internal event	 System time: 13:48:01	 Logical clock time: 65
Internal event	 System time: 13:48:01	 Logical clock time: 66
Sent message:'66'	 System time: 13:48:01	 Logical clock time: 67
Internal event	 System time: 13:48:01	 Logical clock time: 68
Internal event	 System time: 13:48:01	 Logical clock time: 69
Internal event	 System time: 13:48:01	 Logical clock time: 70
Internal event	 System time: 13:48:01	 Logical clock time: 71
Internal event	 System time: 13:48:02	 Logical clock time: 72
Received message	 System time: 13:48:02	 Logical clock time: 73
Internal event	 System time: 13:48:02	 Logical clock time: 74
Internal event	 System time: 13:48:02	 Logical clock time: 75
Received message	 System time: 13:48:02	 Logical clock time: 76
Sent message:'76'	 System time: 13:48:02	 Logical clock time: 77
Internal event	 System time: 13:48:02	 Logical clock time: 78
Internal event	 System time: 13:48:02	 Logical clock time: 79
Internal event	 System time: 13:48:02	 Logical clock time: 80
Sent message:'80'	 System time: 13:48:02	 Logical clock time: 81
Internal event	 System time: 13:48:02	 Logical clock time: 82
Internal event	 System time: 13:48:02	 Logical clock time: 83
Received message	 System time: 13:48:02	 Logical clock time: 84
Internal event	 System time: 13:48:02	 Logical clock time: 85
Internal event	 System time: 13:48:02	 Logical clock time: 86
Internal event	 System time: 13:48:02	 Logical clock time: 87
Sent message:'87'	 System time: 13:48:02	 Logical clock time: 88
Sent message:'88'	 System time: 13:48:02	 Logical clock time: 89
Internal event	 System time: 13:48:02	 Logical clock time: 90
Sent message:'90'	 System time: 13:48:03	 Logical clock time: 91
Internal event	 System time: 13:48:03	 Logical clock time: 92
Sent message:'92'	 System time: 13:48:03	 Logical clock time: 93
Internal event	 System time: 13:48:03	 Logical clock time: 94
Internal event	 System time: 13:48:03	 Logical clock time: 95
Internal event	 System time: 13:48:03	 Logical clock time: 96
Received message	 System time: 13:48:03	 Logical clock time: 97
Internal event	 System time: 13:48:03	 Logical clock time: 98
Sent message:'98'	 System time: 13:48:03	 Logical clock time: 99
Internal event	 System time: 13:48:03	 Logical clock time: 100
Sent message:'100'	 System time: 13:48:03	 Logical clock time: 101
Internal event	 System time: 13:48:03	 Logical clock time: 102
Received message	 System time: 13:48:03	 Logical clock time: 103
Internal event	 System time: 13:48:03	 Logical clock time: 104
Sent message:'104'	 System time: 13:48:03	 Logical clock time: 105
Sent message:'105'	 System time: 13:48:03	 Logical clock time: 106
Internal event	 System time: 13:48:03	 Logical clock time: 107
Internal event	 System time: 13:48:03	 Logical clock time: 108
Internal event	 System time: 13:48:04	 Logical clock time: 109
Internal event	 System time: 13:48:04	 Logical clock time: 110
Sent message:'110'	 System time: 13:48:04	 Logical clock time: 111
Internal event	 System time: 13:48:04	 Logical clock time: 112
Internal event	 System time: 13:48:04	 Logical clock time: 113
Received message	 System time: 13:48:04	 Logical clock time: 114
Sent message:'114'	 System time: 13:48:04	 Logical clock time: 115
Sent message:'115'	 System time: 13:48:04	 Logical clock time: 116
Internal event	 System time: 13:48:04	 Logical clock time: 117
Internal event	 System time: 13:48:04	 Logical clock time: 118
Internal event	 System time: 13:48:04	 Logical clock time: 119
Sent message:'119'	 System time: 13:48:04	 Logical clock time: 120
Sent message:'120'	 System time: 13:48:04	 Logical clock time: 121
Internal event	 System time: 13:48:04	 Logical clock time: 122
Received message	 System time: 13:48:04	 Logical clock time: 123
Internal event	 System time: 13:48:04	 Logical clock time: 124
Internal event	 System time: 13:48:04	 Logical clock time: 125
Internal event	 System time: 13:48:04	 Logical clock time: 126
Sent message:'126'	 System time: 13:48:05	 Logical clock time: 127
Internal event	 System time: 13:48:05	 Logical clock time: 128
Sent message:'128'	 System time: 13:48:05	 Logical clock time: 129
Internal event	 System time: 13:48:05	 Logical clock time: 130
Internal event	 System time: 13:48:05	 Logical clock time: 131
Received message	 System time: 13:48:05	 Logical clock time: 132
Received message	 System time: 13:48:05	 Logical clock time: 133
Received message	 System time: 13:48:05	 Logical clock time: 134
Internal event	 System time: 13:48:05	 Logical clock time: 135
Internal event	 System time: 13:48:05	 Logical clock time: 136
Sent message:'136'	 System time: 13:48:05	 Logical clock time: 137
Sent message:'137'	 System time: 13:48:05	 Logical clock time: 138
Internal event	 System time: 13:48:05	 Logical clock time: 139
Sent message:'139'	 System time: 13:48:05	 Logical clock time: 140
Sent message:'140'	 System time: 13:48:05	 Logical clock time: 141
Received message	 System time: 13:48:05	 Logical clock time: 142
Internal event	 System time: 13:48:05	 Logical clock time: 143
Internal event	 System time: 13:48:05	 Logical clock time: 144
Internal event	 System time: 13:48:06	 Logical clock time: 145
Internal event	 System time: 13:48:06	 Logical clock time: 146
Internal event	 System time: 13:48:06	 Logical clock time: 147
Internal event	 System time: 13:48:06	 Logical clock time: 148
Internal event	 System time: 13:48:06	 Logical clock time: 149
Sent message:'149'	 System time: 13:48:06	 Logical clock time: 150
Internal event	 System time: 13:48:06	 Logical clock time: 151
Received message	 System time: 13:48:06	 Logical clock time: 152
Sent message:'152'	 System time: 13:48:06	 Logical clock time: 153
Sent message:'153'	 System time: 13:48:06	 Logical clock time: 154
Sent message:'154'	 System time: 13:48:06	 Logical clock time: 155
Internal event	 System time: 13:48:06	 Logical clock time: 156
Sent message:'156'	 System time: 13:48:06	 Logical clock time: 157
Internal event	 System time: 13:48:06	 Logical clock time: 158
Internal event	 System time: 13:48:06	 Logical clock time: 159
Internal event	 System time: 13:48:06	 Logical clock time: 160
Internal event	 System time: 13:48:06	 Logical clock time: 161
Internal event	 System time: 13:48:06	 Logical clock time: 162
Internal event	 System time: 13:48:06	 Logical clock time: 163
Sent message:'163'	 System time: 13:48:07	 Logical clock time: 164
Internal event	 System time: 13:48:07	 Logical clock time: 165
Internal event	 System time: 13:48:07	 Logical clock time: 166
Sent message:'166'	 System time: 13:48:07	 Logical clock time: 167
Sent message:'167'	 System time: 13:48:07	 Logical clock time: 168
